      WELL DATA SUMMARY                                                                                                                                                                                                        
            
Well  NAVY I  52A-7 
                         
Sec Az 200  S20W    
Elev   4181 KB      
CoordsNorth  259268 East              2353139 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                                                                                                                                               
    0  0.00       0  123     0     0        0   4181     0     0     0     0     0        0  259268  2353139                                                                                                                   
  177  0.50      57  123   177     1      177   4004     0     1     0     1     0        0  259268  2353140                                                                                                                   
  180  0.51      57  123     3     0      180   4001     0     0     0     1     0        0  259268  2353140                                                                                                                   
  293  1.00      57  123   113     1      293   3888    -1     1    -1     2    -1       -1  259267  2353141                                                                                                                   
  419  0.75      41  139   126     2      419   3762    -1     1    -3     3    -1       -3  259265  2353142                                                                                                                   
  451  1.00      71  109    32     0      451   3730     0     0    -3     4     0       -3  259265  2353143                                                                                                                   
  558  0.75      84   96   107     2      558   3623     0     2    -3     5     0       -3  259265  2353144                                                                                                                   
  650  0.75      66  114    92     1      650   3531     0     1    -3     7     0       -3  259265  2353146                                                                                                                   
  744  0.50      16  164    94     1      744   3437    -1     1    -4     7    -1       -4  259264  2353146                                                                                                                   
  838  0.75      12  192    94     1      838   3343    -1     0    -5     7    -1       -5  259263  2353146                                                                                                                   
  933  0.50      30  210    95     1      933   3248    -1     0    -6     7    -1       -6  259262  2353146                                                                                                                   
 1027  0.50      60  240    94     1     1027   3154    -1    -1    -7     6    -1       -7  259261  2353145                                                                                                                   
 1121  0.75      70  250    94     1     1121   3060     0    -1    -7     5     0       -7  259261  2353144                                                                                                                   
 1174  1.50      25  205    53     1     1174   3007    -1    -1    -8     5    -1       -8  259260  2353144                                                                                                                   
 1181  1.75      25  205     7     0     1181   3000     0     0    -8     5     0       -8  259260  2353144                                                                                                                   
 1204  2.75      23  203    23     1     1204   2977    -1     0    -9     4    -1       -9  259259  2353143                                                                                                                   
 1277  4.00      21  201    73     4     1277   2904    -4    -2   -13     3    -4      -13  259255  2353142                                                                                                                   
 1329  4.50      24  204    52     4     1329   2852    -4    -1   -16     1    -4      -16  259252  2353140                                                                                                                   
 1358  4.50      30  210    29     2     1358   2823    -2    -1   -19     0    -2      -19  259249  2353139                                                                                                                   
 1384  4.75      24  204    26     2     1383   2798    -2    -1   -20    -1    -2      -20  259248  2353138                                                                                                                   
 1420  5.25      17  197    36     3     1419   2762    -3    -1   -23    -2    -3      -23  259245  2353137                                                                                                                   
 1452  6.00      17  197    32     3     1451   2730    -3    -1   -26    -3    -3      -26  259242  2353136                                                                                                                   
 1483  6.75      13  193    31     3     1482   2699    -3    -1   -30    -4    -3      -30  259238  2353135                                                                                                                   
 1513  7.50      12  192    30     4     1512   2669    -4    -1   -33    -5    -4      -33  259235  2353134                                                                                                                   
 1544  8.25      13  193    31     4     1542   2639    -4    -1   -37    -6    -4      -37  259231  2353133                                                                                                                   
 1600  9.85      16  196    55     9     1598   2583    -9    -2   -46    -8    -9      -46  259222  2353131                                                                                                                   
 1614 10.25      17  197    14     2     1612   2569    -2    -1   -48    -8    -2      -48  259220  2353131                                                                                                                   
